location,forecast_date,quantile,value,target,target_end_date,type
02,2021-04-19,0.01,0,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.025,0,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.05,0,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.1,1.7571017604453494,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.15,4.125379944123093,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.2,5.2453903742662344,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.25,5.975577645201905,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.3,7.210420484130252,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.35,8.085763665106777,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.4,9.093053297354707,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.45,9.992230892727244,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.5,10.964601214477488,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.55,11.783289955868215,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.6,12.674500279323762,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.65,13.696116044690267,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.7,14.990147950160043,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.75,15.59786450546907,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.8,17.430121696704713,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.85,20.107661772521332,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.9,24.402261162436886,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.95,30.532167910743667,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.975,41.726952459633424,1 wk ahead inc death,2021-04-24,quantile
02,2021-04-19,0.99,46.575747328722024,1 wk ahead inc death,2021-04-24,quantile
01,2021-04-19,0.01,20.973785878293604,1 wk ahead inc death,2021-04-24,quantile
01,2021-04-19,0.025,25.288686148756415,1 wk ahead inc death,2021-04-24,quantile
01,2021-04-19,0.05,29.192093949277144,1 wk ahead inc death,2021-04-24,quantile
